Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,96.8529,97.2151,96.4048,96.8051,327896.85676171
2015-01-05,96.5763,97.2627,94.4533,94.6229,506916.55989451
2015-01-07,95.0414,99.694,94.2263,99.1604,1022206.5746622
2015-01-08,99.598,101.295,99.598,101.258,752931.24438801
2015-01-09,101.295,101.295,98.1971,98.6361,595762.45092794
2015-01-12,99.0267,100.419,96.2332,96.8529,697868.67222646
2015-01-13,96.4048,99.1119,95.6517,96.4048,1526260.6569983
2015-01-14,92.4063,92.4063,88.589,89.6988,4167235.527276
2015-01-15,90.7646,92.9011,88.1075,90.8523,3355102.708731
2015-01-16,90.8523,92.0107,89.5653,91.6989,729927.58175205
2015-01-19,92.231,93.2042,91.433,92.231,749233.83383711
2015-01-20,92.2776,94.0939,91.7456,92.7181,746650.36655006
2015-01-21,93.1214,95.5086,92.4511,95.5086,1076418.4801693
2015-01-22,95.5086,98.9404,95.0414,97.7395,1609189.6422394
2015-01-23,97.7776,99.0267,95.1273,96.1951,866788.41331824
2015-01-26,93.2921,95.2036,92.5426,94.0137,1290703.6131267
2015-01-27,93.9203,94.8499,90.1869,91.2976,1357805.5833885
2015-01-28,91.7456,92.5893,90.1869,91.5616,739683.50105245
2015-01-29,91.5159,93.7325,90.8523,93.3864,799259.53636309
2015-01-30,92.9842,94.5476,92.8563,93.6104,1032979.9374333
2015-02-02,94.2731,95.6898,94.1787,95.2036,647453.8237957
2015-02-03,95.7851,99.4742,95.7851,99.4742,1293874.4704587
2015-02-04,99.3416,100.323,98.4926,99.4267,1008179.4906062
2015-02-05,98.6361,98.9885,96.3189,98.1018,703974.38196172
2015-02-06,98.4544,99.7891,98.1495,99.5227,956522.73179468
2015-02-09,98.6361,100.323,98.4073,100.323,676807.59238206
2015-02-10,100.228,101.115,99.1604,99.598,911129.01933758
2015-02-11,99.7891,101.258,99.7891,101.258,692545.44994396
2015-02-12,101.295,101.477,100.323,100.762,915155.78787797
2015-02-13,100.857,102.087,100.534,101.066,1156217.5155995
2015-02-16,101.744,104.356,101.429,104.232,1384854.8949591
2015-02-17,104.041,104.041,101.915,102.63,1266633.2082127
2015-02-18,103.516,104.585,103.24,103.917,1223581.7135599
