Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,3.5,3.5,3.5,3.5,9305
2015-01-05,4,4,3.5,3.5,13839
2015-01-07,3.5,4,3.5,4,7139
2015-01-08,4,4,4,4,15619
2015-01-09,4,4,4,4,130865
2015-01-12,4.5,5,4.5,5,183198
2015-01-13,5,5,5,5,66739
2015-01-14,5,5,5,5,20406
2015-01-15,5,5,4.5,4.5,120477
2015-01-16,4,4.5,4,4.5,18216
2015-01-19,4,4.5,4,4.5,20068
2015-01-20,4.5,4.5,4.5,4.5,21991
2015-01-21,4.5,4.5,4.5,4.5,70183
2015-01-22,4.5,4.5,4.5,4.5,11670
2015-01-23,4,4.5,4,4.5,11430
2015-01-26,4.5,4.5,4,4,6524
2015-01-27,4,4.5,4,4.5,12988
2015-01-28,4,4,4,4,7631
2015-01-29,4.5,4.5,4.5,4.5,7650
2015-01-30,4,4.5,4,4.5,4916
2015-02-02,4.5,4.5,4,4,4230
2015-02-03,4,4.5,4,4.5,6121
2015-02-04,4.5,4.5,4.5,4.5,6389
2015-02-05,4.5,4.5,4.5,4.5,4740
2015-02-06,4.5,4.5,4.5,4.5,11162
2015-02-09,4,4.5,4,4.5,6275
2015-02-10,4,4,4,4,2244
2015-02-11,4,4,4,4,16203
2015-02-12,4.5,4.5,4.5,4.5,21132
2015-02-13,4.5,4.5,4.5,4.5,16697
2015-02-16,4.5,4.5,4.5,4.5,133200
2015-02-17,5,5,4.5,4.5,43642
2015-02-18,4.5,4.5,4.5,4.5,61042
2015-02-19,4.5,4.5,4.5,4.5,21143
2015-02-20,4.5,4.5,4.5,4.5,21238
2015-02-23,4.5,4.5,4.5,4.5,53460
2015-02-24,4.5,4.5,4.5,4.5,79686
2015-02-25,4.5,4.5,4.5,4.5,20175
2015-02-26,4.5,4.5,4.5,4.5,20273
2015-02-27,4.5,4.5,4.5,4.5,10707
2015-03-02,4.5,4.5,4,4,8469
2015-03-03,4.5,4.5,4.5,4.5,28218
2015-03-04,4.5,4.5,4,4,4535
2015-03-05,4.5,4.5,4.5,4.5,8195
2015-03-06,4.5,4.5,4.5,4.5,14898
2015-03-09,4.5,4.5,4.5,4.5,32403
2015-03-10,4.5,4.5,4.5,4.5,9132
2015-03-11,5,5,4.5,4.5,41813
2015-03-12,4.5,4.5,4.5,4.5,26220
2015-03-13,4.5,4.5,4.5,4.5,8867
2015-03-16,4.5,4.5,4,4,5612
2015-03-17,4.5,4.5,4.5,4.5,6969
2015-03-18,4.5,4.5,4.5,4.5,7576
2015-03-19,4,4,4,4,69566
2015-03-20,3,3,2,2,3120830
2015-03-23,2.5,2.5,2.5,2.5,2325406
2015-03-24,3,3,3,3,984860
2015-03-25,3.5,3.5,3.5,3.5,740631
2015-03-26,3.5,3.5,3,3,587694
2015-03-27,3,3.5,3,3.5,206078
2015-03-30,3.5,3.5,3,3,432895
2015-03-31,3,3.5,3,3.5,195423
2015-04-01,3.5,3.5,3.5,3.5,62616
2015-04-02,3,3.5,3,3.5,57531
2015-04-07,3.5,3.5,3.5,3.5,561214
2015-04-08,4,4,3.5,3.5,409330
2015-04-09,3.5,3.5,3.5,3.5,704702
2015-04-10,3.5,3.5,3.5,3.5,110249
2015-04-13,3.5,3.5,3.5,3.5,337686
2015-04-14,3.5,3.5,3.5,3.5,316591
2015-04-15,3.5,3.5,3.5,3.5,499408
2015-04-16,3.5,3.5,3.5,3.5,159771
2015-04-17,4,4,3.5,3.5,101368
2015-04-20,4,4,4,4,189131
2015-04-21,4,4.5,4,4.5,457955
2015-04-22,4.5,4.5,4,4,191875
2015-04-23,4.5,4.5,4.5,4.5,72581
2015-04-24,4.5,4.5,4.5,4.5,51605
2015-04-27,4.5,4.5,4.5,4.5,143197
2015-04-28,4,4.5,4,4.5,43518
2015-04-29,4,4.5,4,4.5,51665
2015-04-30,4.5,4.5,4.5,4.5,62611
